48,2526,
48,3157,
40,3789,
40,4421,
36,5052,
36,5684,
40,6315,
34,7578,
34,8210,
36,8842,
36,9473,
40,10105,
40,10736,
48,11368,
33,12631,
33,13263,
34,13894,
34,14526,
36,15157,
36,15789,
40,16421,
33,17684,
33,18315,
34,18947,
34,19578,
36,20210,
36,20842,
40,21473,
48,22736,
48,23368,
40,23999,
40,24631,
36,25263,
36,25894,
40,26526,
34,27789,
34,28420,
36,29052,
36,29684,
40,30315,
40,30947,
48,31578,
56,33157,
56,33789,
44,34420,
44,35052,
38,35684,
38,36315,
44,36947,
38,38210,
38,38841,
42,39473,
42,40105,
44,40736,
44,41368,
52,41999,
35,43263,
35,43894,
37,44526,
37,45157,
42,45789,
42,46420,
44,47052,
35,48315,
35,48947,
37,49578,
37,50210,
42,50841,
42,51473,
37,52105,
56,53368,
56,53999,
52,54631,
52,55262,
44,55894,
44,56526,
52,57157,
35,58420,
35,59052,
38,59684,
38,60315,
44,60947,
44,61578,
56,62210,
